Imagen_Nombre,Compania,Naturaleza,Color,Selfie,Ubicacion,Fiesta,Logro,Sonrisas
20241125_174949.jpg,Ninguna,Si,Amarillo,No,Exterior,No,Si,Si
IMG_7211.jpeg,Pareja,No,Amarillo,Si,Exterior,No,No,Si
1000124199.jpg,Amigos,Si,Azul,No,Exterior,No,No,Si
IMG_0335.jpeg,Amigos,Si,Azul,No,Exterior,No,No,Si
IMG_2327.jpeg,Ninguna,No,Azul,No,Exterior,No,Si,No
IMG_2400.jpeg,Ninguna,No,Azul,No,Exterior,No,Si,No
682a100e-a9d1-41ed-aa55-ab57dfff17c0.jpeg,Ninguna,Si,Azul,No,Exterior,No,No,No
IMG_2290.jpeg,Ninguna,Si,Azul,No,Exterior,No,No,Si
IMG-20250125-WA0002.jpg,Ninguna,Si,Azul,No,Exterior,No,No,Si
82ed695a-7b99-41ed-9866-f8f4d2f7da65.jpeg,Pareja,Si,Azul,No,Exterior,No,No,No
IMG_3773.jpeg,Pareja,Si,Azul,No,Exterior,No,Si,No
IMG_5211.jpeg,Pareja,Si,Azul,Si,Exterior,No,No,Si
d5107450-501a-418c-88ee-92bd8ef444da.jpeg,Pareja,Si,Azul,Si,Exterior,No,No,Si
IMG_6551_VSCO.jpeg,Pareja,Si,Azul,Si,Exterior,No,Si,Si
IMG_6654.jpeg,Amigos,Si,Blanco,No,Exterior,No,No,Si
IMG_6794.jpeg,Familia,Si,Blanco,No,Exterior,No,No,No
DSC07058.JPG,Ninguna,Si,Marrón,No,Exterior,No,No,Si
IMG_9395.jpeg,Familia,Si,Naranja,Si,Exterior,No,No,Si
IMG_7756.jpeg,Ninguna,No,Naranja,No,Exterior,No,No,No
7261A006-F8FA-48F4-BE9E-EC21A9D74327.jpeg,Ninguna,Si,Naranja,No,Exterior,No,No,No
a15e1ca0-538e-4d0e-b269-27636d0d4c53.jpeg,Ninguna,Si,Naranja,No,Exterior,No,No,No
FullSizeRender.jpeg,Pareja,Si,Naranja,No,Exterior,No,No,No
IMG_3772.jpeg,Amigos,No,Negro,No,Exterior,No,No,Si
IMG_6827.jpeg,Amigos,No,Negro,No,Exterior,No,No,Si
1000005739.jpg,Pareja,No,Negro,No,Exterior,No,No,Si
