uid,Fecha,Imagen_Nombre,Imagen_Fecha,Imagen_Lugar,Género,Edad,Viaje,Motivo
kKanc7r,2025-01-23 19:11:44,IMG_6827.jpeg,2024-10-10,Bcn,Mujer,18-30 años/ years old,No,
m9rqIET,2025-01-23 19:11:58,IMG_0225.jpeg,2024-12-31,Madrid,Mujer,18-30 años/ years old,Si/ yes,Porque estoy acompañada de personas a las que quiero mucho
m6RBcnP,2025-01-23 19:22:04,IMG_0494.jpeg,2024-08-16,Girona,Mujer,18-30 años/ years old,Si/ yes,"Es una foto muy de friends for life, tumbados en un embarcadero después de tirarnos a un río pestilente, no se me parece cutesy"
js08G8N,2025-01-23 19:29:58,IMG_2107.jpeg,2024-07-29,"Fornells, Menorca",hombre,18-30 años/ years old,Si/ yes,"Amigos, fiesta, Menorca"
DJOLn3L,2025-01-23 19:37:24,IMG-20241120-WA0116.jpg,2024-11-12,Madrid-Wizink Center,Mujer,18-30 años/ years old,No,"Sum 41 ha sido siempre uno de mis grupos favoritos. En esta ocasión les puse ver en primera fila antes de su descanso indefinido, por lo que fue un momento muy emocionante para mí."
vikxN8s,2025-01-23 19:42:42,IMG_0830.jpeg,2024-05-03,"Feria de Jerez, Cádiz",Mujer,18-30 años/ years old,Si/ yes,Escapadita con mis amigos de fiesta y buen tiempo
aYfdJqd,2025-01-23 19:47:24,1000124199.jpg,2024-06-05,"Spiaggia di Porto Giunco en Cerdeña, Italia",hombre,18-30 años/ years old,Si/ yes,"Fue en un momento de viaje tras haber terminado al carrera con mis amigas de la carrera, había sido un curso muy ajetreado. Está foto fue tomada al final de un día increíble lleno de buenos momentos, en un lugar precioso y con personas muy importantes para mí. Creo que fue uno de los días del año en el que fui mañana feliz."
8QOYNeU,2025-01-23 19:50:32,6bfaeea0-ac7a-4c48-80ab-aae50e413bff.jpeg,2024-12-13,Tres Cantos,Mujer,Más de 50 años/ over 50 years old,No,Es la representación de la culminación de un sueño. Un resultado fehaciente de algo hecho tras mucho tiempo y esfuerzo empleado.
IUnHWPq,2025-01-23 19:54:28,IMG_9796.jpeg,2024-08-19,vall de núria,Mujer,18-30 años/ years old,No,quan es començava a veure sortir el sol d’entre les muntanyes de bon matí al començar una ruta.
U6CB5lw,2025-01-23 19:57:39,Screenshot_2025-01-23-21-02-14-315_com.miui.gallery.jpg,2024-09-29,Sant pol de mar,Mujer,18-30 años/ years old,No,"Es en la boda de mi primo, en la foto salimos mi pareja, mi prima y su pareja"
Q9HLRQf,2025-01-23 20:02:37,Screen Shot 2025-01-23 at 21.03.41.png,2024-01-06,Lago Ranco,hombre,30-50 años/ years old,No,El día que me case
54DRLZ2,2025-01-23 20:13:50,IMG_3323.jpeg,2024-06-15,Valencia,hombre,18-30 años/ years old,No,Objetivo cumplido
IqG6Oxz,2025-01-23 20:15:17,IMG_9752.jpeg,2024-08-18,Béjar,Mujer,30-50 años/ years old,Si/ yes,Porque muestra el amor
WcHzixq,2025-01-23 20:15:20,1000005739.jpg,2024-10-25,Japo,hombre,Más de 50 años/ over 50 years old,Si/ yes,
yO1nb33,2025-01-23 20:17:40,IMG_9395.jpeg,2024-08-15,Isla de la Toja,hombre,Más de 50 años/ over 50 years old,No,"Esta foto representa la alegría de estar con mi familia, la alegría de vivir, las sonrisas en las caras de mis hijos, el amor incondicional entre todos nosotros. Felicidad simple, entero y pura."
VNLrm0O,2025-01-23 20:18:09,IMG_1319.jpeg,2024-01-28,Calella,Mujer,18-30 años/ years old,No,Primeros dias con mi perro en casa
dMypJZx,2025-01-23 20:19:29,IMG_2327.jpeg,2024-12-19,"Bank, London",Mujer,18-30 años/ years old,No,"This was my last commute into the office in 2024. It makes me happy because it reminds me of an exciting first year at my job in the city, which was full of achievement and happy memories."
DHL1lnU,2025-01-23 20:21:23,IMG-20240406-WA0028.jpg,2024-04-05,Valparaiso,Mujer,18-30 años/ years old,No,Un cuatri-cumpleaños de gente que quiero mucho y no sabía que cumpliamos unx detrás de otrx. Así que cerramos un taller cervecero para celebrarlo ♡
W1CfO5v,2025-01-23 20:24:46,IMG-20241112-WA0015.jpg,2024-11-12,Carrer aragó,hombre,18-30 años/ years old,No,Va significar retrobar-me amb els meus companys del màster i veure que s'havia creat una amistat més enllà d'haver coincidit 1 any amb el màster
Z0FRTGs,2025-01-23 20:35:44,7261A006-F8FA-48F4-BE9E-EC21A9D74327.jpeg,2024-05-24,Barcelona,hombre,18-30 años/ years old,No,"Los colores, la calma que trae, es un momento para disfrutar. Es un recordatorio de lo simple y hermoso que puede ser el mundo."
qEFma5t,2025-01-23 20:40:46,1000057310.jpg,2024-04-15,Hospital Clinic,Mujer,30-50 años/ years old,No,Este es el día que acabe el tratamiento de quimio contra el cáncer de mama.
Mtx40PF,2025-01-23 20:42:36,IMG_2250.jpeg,2024-02-03,Colmenar Viejo,Mujer,30-50 años/ years old,No,Somos mi abuela y yo después de un largo periodo de recuperación de salud. Celebrando la vida.
lsowwa3,2025-01-23 20:42:54,IMG-20240817-WA0003.jpg,2024-08-16,"Portonovo, Pontevedra",Mujer,Más de 50 años/ over 50 years old,No,Porque ese día decidí ser feliz disfrutando de lo que sí tenía: mi familia y cosas ricas para celebrarlo.
zj8xAfQ,2025-01-23 20:49:16,1000017138.jpg,2024-12-30,Madrid,hombre,18-30 años/ years old,Si/ yes,Muestra un momento compartido con una persona que quiero mucho y me gusta como salimos
